,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,APTO11,Híbrido,"R$ 10,58",35.0,"R$ 0,03","0,30%",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 9.494.846,65","R$ 9,59","1,10",N/A,N/A,N/A,N/A,N/A,N/A,0
2,FIVN11,Shoppings,"R$ 2,79",24552.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 65.805.766,28","R$ 6,99","0,40",N/A,N/A,N/A,N/A,"56,00%",N/A,1
3,BZLI11,Títulos e Val. Mob.,"R$ 14,70",44041.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,68%","0,68%","1,14%","R$ 432.739.853,66","R$ 10,89","1,35",N/A,N/A,N/A,N/A,N/A,N/A,0
4,XTED11,Lajes Corporativas,"R$ 6,33",1436.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,10%","1,10%","-37,83%","R$ 26.172.643,85","R$ 13,52","0,47",N/A,N/A,N/A,N/A,"0,00%","100,00%",1
5,ALMI11,Lajes Corporativas,"R$ 1.010,00",40.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,27%","2,27%","-28,29%","R$ 250.264.016,46","R$ 2.251,04","0,45",N/A,N/A,N/A,N/A,"68,15%",N/A,1
6,PABY11,Híbrido,"R$ 11,48",2.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","-19,84%","-19,84%","-31,62%","R$ -8.246.025,21","R$ -10,87","-1,06",N/A,N/A,N/A,N/A,N/A,N/A,1
7,ORPD11,Títulos e Val. Mob.,"R$ 129,72",1.0,"R$ 1,38",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 44.218.407,47","R$ 152,48","0,85",N/A,N/A,N/A,N/A,N/A,N/A,0
8,RBLG11,Logística,"R$ 85,00",21.0,"R$ 0,80","0,91%","2,64%","4,60%","0,00%","0,88%","0,77%","0,00%","5,99%","0,89%","1,81%","-14,15%","R$ 68.689.321,59","R$ 107,29","0,79",N/A,N/A,N/A,N/A,"0,00%",N/A,1
9,QAGR11,Outros,"R$ 51,14",8443.0,"R$ 0,39","0,77%","2,31%","4,53%","8,80%","0,77%","0,76%","0,73%","8,31%","3,02%","3,81%","0,70%","R$ 301.164.497,72","R$ 59,75","0,86",N/A,N/A,N/A,N/A,N/A,N/A,12
